FIELDS,DESCRIPTION
Type,:  Type of transaction made
Delivery Status,":  Delivery status of orders: Advance shipping , Late delivery , Shipping canceled , Shipping on time"
Category Name,:  Description of the product category
Customer City,:  City where the customer made the purchase
Customer Country,:  Country where the customer made the purchase
Customer Email,:  Customer's email
Customer Fname,:  Customer name
Customer Lname,:  Customer lastname
Customer Password,:  Masked customer key
Customer Segment,":  Types of Customers: Consumer , Corporate , Home Office"
Customer State,:  State to which the store where the purchase is registered belongs
Customer Street,:  Street to which the store where the purchase is registered belongs
Department Name,:  Department name of store
Market,":  Market to where the order is delivered : Africa , Europe , LATAM , Pacific Asia , USCA"
Order City,:  Destination city of the order
Order Country,:  Destination country of the order
order date (DateOrders),:  Date on which the order is made
Order Region,":  Region of the world where the order is delivered :  Southeast Asia ,South Asia ,Oceania ,Eastern Asia, West Asia , West of USA , US Center , West Africa, Central Africa ,North Africa ,Western Europe ,Northern , Caribbean , South America ,East Africa ,Southern Europe , East of USA ,Canada ,Southern Africa , Central Asia ,  Europe , Central America, Eastern Europe , South of  USA "
Order State,:  State of the region where the order is delivered
Order Status,":  Order Status : COMPLETE , PENDING , CLOSED , PENDING_PAYMENT ,CANCELED , PROCESSING ,SUSPECTED_FRAUD ,ON_HOLD ,PAYMENT_REVIEW"
Product Description,:  Product Description
Product Image,:  Link of visit and purchase of the product
Product Name,:  Product Name
Shipping date (DateOrders)   ,:  Exact date and time of shipment
Shipping Mode,":  The following shipping modes are presented : Standard Class , First Class , Second Class , Same Day"
